Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Crecimiento del PIB per cápita (% anual),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,2639407353","18,8662781416","11,6715725749","2,1958045097","4,5393172827","2,3706415075","4,0926147633","4,8003519953","-0,5672017539","-1,830023738","3,854744451","-1,027089526","-1,6895366527","4,9245266388","2,3554765884","-2,1213407585","0,1070454757","6,3313650407","-1,3773768598","-0,0604437236","1,831640411","0,5793831975","-12,7602703628","-3,8278641363","2,402778496","-1,8393581429","5,6369707589","-2,2648691065","-1,2555886102","1,1211829579","6,4749086233","1,8764014375","-2,7434014798","-24,0845698974","27,6968645872","10,553786048",
,AFE,Crecimiento del PIB per cápita (% anual),NY.GDP.PCAP.KD.ZG,,"-2,1430646955","4,9987810491","2,7864343322","1,8104038259","2,2347190315","1,9610595466","2,4739503731","1,2329086083","2,1192291346","-1,7240543","2,4865748697","-0,0790617451","1,6263606034","2,41028833","-1,5121380461","-0,5773933304","-1,6937158875","-1,4521913717","-0,2195375984","2,4201818351","0,9701455694","-2,7258371048","-2,9027094495","0,4153012321","-2,9968185462","-0,7391904397","0,8749030681","1,3146936077","-0,1429793253","-2,6517880753","-2,806743446","-4,860773572","-3,1659401549","-0,7025312553","1,6136926484","2,6892498787","1,2267388487","-0,7377280618","0,093893225","0,6202003839","0,8969553483","1,203673409","0,3368236237","2,8373481353","3,4077358029","3,7731041424","3,7952256597","1,5620774097","-1,8251183273","2,4093993039","1,295365426","-0,9579431114","1,4303709934","1,1755695519","0,2032888173","-0,5301153616","-0,0041613455","-0,0064791405","-0,4887229065","-5,3161850655","1,8418817434","0,985594676","0,0884836543"
Afganistán,AFG,Crecimiento del PIB per cápita (% anual),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-10,1019664255","20,5679634606","0,9270291194","-2,4972546265","7,3218738447","1,0849881971","11,803382664","1,8647544641","17,1435343247","11,0992199184","-3,2113643031","8,2471442559","2,0025221458","-0,9648033309","-1,6664164147","-0,3458024955","-0,253593781","-1,6885765916","0,9328333856","-5,3646659296","-22,9669419946","-8,5866519008",
,AFW,Crecimiento del PIB per cápita (% anual),NY.GDP.PCAP.KD.ZG,,"-0,2373129791","1,5291098069","4,8487303198","3,125918135","1,8191286469","-3,7257279243","-11,1240319275","-0,7155424324","12,6485525652","14,8466164573","7,9934013632","0,7225166909","1,4758681659","7,2691739383","-4,7147600159","5,6231736648","1,8017249902","-4,6342571838","2,1853369394","-0,9008063863","-9,3775480906","-6,0198214027","-8,8432202021","-2,0538673017","2,6230539614","-1,315748953","-1,2744362517","1,9412947581","-1,0234282899","3,0382338397","-1,5775405897","-0,2401998744","-3,885184389","-2,8783718323","-0,7538204219","1,9109525091","1,7119630662","0,8638574333","-1,1306679916","1,0804524272","2,3438217439","6,9213830497","2,6420724589","5,0220019037","2,9051863323","2,4719567244","2,6201994633","3,3535460101","3,3429893352","4,0099210419","1,9450520937","2,259037914","3,254876848","3,0898585674","0,0882581213","-2,5036445511","-0,4102035071","0,1688980428","0,5729549192","-3,5277890553","1,385814752","1,2138567095","0,782040907"
Angola,AGO,Crecimiento del PIB per cápita (% anual),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,"-7,738347877","-3,5284412291","0,4982965595","2,2417789702","-0,1634750638","-0,7046145255","0,564519377","2,6149748288","-3,2749125677","-6,6264093133","-2,3125017787","-8,8482936172","-26,3491236737","-1,8506210457","11,2784223654","9,8254578216","3,7555193923","1,3139261061","-1,0627248865","-0,2349456327","0,838227322","9,9373072489","-0,466060748","7,1270765608","11,0095655732","7,6142192032","9,9351087072","7,1630460121","-2,7972899836","0,5712209411","-0,3450624353","4,5380537802","1,1063310346","1,030729118","-2,6429753303","-6,0118907775","-3,630695038","-4,6766695843","-4,017114161","-8,6724321291","-1,9545980064","-0,0967547298","-2,1550773779"
Albania,ALB,Crecimiento del PIB per cápita (% anual),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,"3,6486485472","0,7958400711","-1,0168021723","-3,3074972023","-0,2905953483","3,6146555441","-2,7494963795","-3,2625223345","6,9236172851","-11,187905299","-27,566820837","-6,6225512124","10,2299493531","8,9697616586","14,0244959299","9,7801798793","-10,3611049709","9,5164844382","13,6080691237","7,6300224394","9,3143971394","4,8504753342","5,9242115425","5,9565695962","6,0678824394","6,5729229824","6,7872289359","8,3281084229","4,0531398638","4,2230838272","2,8216424551","1,5848728145","1,1872343529","1,9853880918","2,5168270542","3,4802932167","3,8981122675","4,2763115511","2,5235408428","-2,7452386776","9,9227137081","6,1390167899","4,6339102268"
Andorra,AND,Crecimiento del PIB per cápita (% anual),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,"-2,5261053338","0,9972332974","0,8906769641","-0,9206961559","-5,4124828597","-2,5289590376","-2,6607246536","-3,5986248991","-4,5529352681","-2,0075151469","-3,847772185","-2,9793549639","-2,8461855265","-2,4357304889","-1,4809658565","-0,8129640676","1,0491551716","0,8210462135","0,7974894686","0,0423206246","-0,9040144539","-2,3286131819","-4,1650300952","-0,7719984751","-0,3303835182","2,661055932","8,1655477426","2,3969199865","3,3554574457","2,8360535399","5,3725329893","0,0767023575","4,1968370937","3,8823837773","1,5780402189","4,2926214345","4,2203754204","-2,9353820269","-2,4780370723","1,2226877027","1,3408938924","-5,5712555432","-4,0260270343","2,1409389822","1,2574160127","2,5745045877","-1,4165790204","-0,0038702956","0,2382965695","-12,7350775611","6,4594405318","8,4794695052","1,1097862609"
El mundo árabe,ARB,Crecimiento del PIB per cápita (% anual),NY.GDP.PCAP.KD.ZG,,,,,,,,"3,795092549","7,7390663464","4,4624109759","18,9110524271","6,0834473332","12,2468628502","10,815204839","7,4454840975","-4,7207751897","11,416932564","3,4931183714","-2,4642528746","7,4129494317","2,6340187984","-2,7109574257","-10,5884062365","-8,2862338742","-1,8182526399","-4,2184121372","0,3302475297","-3,6274835667","2,3227636738","0,9162882987","6,1709135619","-0,7432908377","3,7007188464","-0,1060028584","0,4401465848","0,224434653","2,1350500097","2,515322669","2,471837919","-0,4182815133","4,2157960839","-0,5545787321","-1,5164983886","2,628895126","6,5523897019","3,0617905551","3,5353042253","1,7718661616","2,7699467477","-2,1661108635","2,3201633517","1,3689091401","2,7862784019","0,2152341535","0,1217296204","1,2056016289","1,4687629722","-0,5461563896","0,516143649","-0,3836622611","-7,0352064001","3,4375095396","3,9344098765","-0,9015031977"
Emiratos Árabes Unidos,ARE,Crecimiento del PIB per cápita (% anual),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,"18,2015309734","22,1168474094","56,9487595667","2,7658060791","-3,8283432459","3,097306907","5,5161389381","-13,6117817028","7,1838794701","10,9753059194","-3,5344863677","-12,1248315556","-10,1117633393","-1,6086399933","-8,5704650378","-20,1208199402","-3,6512854549","-8,8522470828","5,5569543776","11,5831413391","-4,5752799278","-1,9217512692","-3,6146208149","2,0429573678","2,087047296","0,0927207519","1,3594914382","-5,7167085304","-2,9589573064","4,8361296477","-3,8515541403","-2,6254716947","3,6710471692","4,6305762749","-2,1904206135","-4,0177153999","-13,9233874028","-13,2874275629","-17,1453938979","-4,2563858646","5,0588087115","0,769638847","4,0126921454","3,1742024869","5,8173578713","4,653505395","-0,0873260714","0,5172398887","0,3236865268","-5,7310445216","3,4872146629","6,9824174662","2,5808960719"
Argentina,ARG,Crecimiento del PIB per cápita (% anual),NY.GDP.PCAP.KD.ZG,,"3,740902814","-2,4543330322","-6,8313933149","8,3827514767","8,8388502121","-2,2092854101","1,5872412183","3,2081560501","8,001733126","1,4431996635","3,9981253124","0,0204873324","1,1360933215","3,7541596614","-1,673528395","-3,5638025213","5,2388028424","-6,0270020388","8,4725180767","-0,0775227576","-6,6765872456","-2,2851504148","2,7351300378","0,0213797876","-6,6130932771","4,5611140027","1,1646899313","-2,5703918325","-8,5279114106","-3,8773898831","7,5899996639","6,4500731309","6,7474973723","4,4201207849","-4,1168808006","4,2049673186","6,8233210924","2,6543475973","-4,4921121289","-1,9069874984","-5,4537969785","-11,8459503938","7,7192296366","7,9281570508","7,7324969985","6,9349817376","7,9162105716","3,0297854066","-6,8679552251","9,8442963985","4,7886831386","-2,1452844498","1,2656851754","-3,5785805098","1,6296642795","-3,1100638982","1,7576481827","-3,6016097566","-2,9695624987","-10,7702732277","9,6739209347","3,9891310845","-2,4362511141"
